date,waterbody,site,run,time,count,cpue
6/28/2018,Susquehanna River,Cooperstown Dam,ALL,36,85,142
6/29/2018,Susquehanna River,Colliersville,ALL,16,486,1823
6/29/2018,Otego Creek,Route 23,ALL,29,22,46
7/9/2018,Butternut Creek,Bailey Road,ALL,52,20,23
7/12/2018,Wharton Creek,Route 80,ALL,48,675,844
7/20/2018,Charlotte Creek,Fortin Park,ALL,35,695,1191
7/20/2018,Susquehanna River,Fortin Park,ALL,52,349,403
7/12/2019,Susquehanna River,Cooperstown Dam,ALL,71,62,52
7/16/2019,Susquehanna River,Colliersville,ALL,71,601,508
7/18/2019,Charlotte Creek,Fortin Park,ALL,58,139,144
7/22/2019,Otego Creek,Route 23,ALL,46,162,211
7/23/2019,Butternut Creek,Bailey Road,ALL,62,302,292
8/5/2019,Susquehanna River,Fortin Park,ALL,63,459,437
8/6/2019,Wharton Creek,Route 80,ALL,31,189,366
7/7/2021,Susquehanna River,Cooperstown Dam,ALL,48,63,78.75
7/9/2021,Butternut Creek,Bailey Road,ALL,50,34,40.8
7/15/2021,Wharton Creek,Route 80,ALL,27,202,448.8888889
7/27/2021,Charlotte Creek,Fortin Park,ALL,62,274,265.1612903
8/2/2021,Otego Creek,Route 23,ALL,27,8,17.77777778
